,PageID,PageName,Disclaimer,AmountSpent,Numberofads
9188,787891094602143,Montauban Avec Vous Pour Vous - Rassemblement National Montauban,These ads ran without a disclaimer,,1
9201,104486367595413,Section PCF Oullins,Benoit Marc Leveque,,3
9261,733686273345882,Rassemblement National 67,These ads ran without a disclaimer,,1
9329,109329200774527,Front Populaire Angevin,These ads ran without a disclaimer,,3
9342,577842325610110,Communistes en Essonne - Fédération PCF 91,These ads ran without a disclaimer,,1
9358,689924437791453,PCF Amilly/Chalette,Section du Parti Communiste Français d'Amilly/Chalette,,1
9660,206032179571178,Rassemblement National - canton de Forbach,These ads ran without a disclaimer,,1
9772,101879314617992,Rassemblement National 64,Rassemblement National des Pyrénées-Atlantiques,,1
9797,1442768085978346,PCF Châlons en champagne - Parti Communiste Français,Pcf Châlons-en-Champagne,,2
10056,101457904702822,"Faouzi Ahamada Municipales 2020 UPR, Nanterre.",Faouzi Ahamada,,1
10069,1377542405901763,PCF Seine-Saint-Denis,These ads ran without a disclaimer,,1
10092,919443334756536,PCF Paris 14,These ads ran without a disclaimer,,1
10098,344379539270451,En Marche à LLN,These ads ran without a disclaimer,,1
10234,726460670756847,PCF Choisy,PCF Choisy,,1
10280,110791203998997,Canton de Marly - Rassemblement National,Ludovic Martel,,1
10331,490549564480255,Les Républicains de Haute-Corse,These ads ran without a disclaimer,,1
10471,223669731559049,Section Vincent Auriol - Parti Socialiste Muret,These ads ran without a disclaimer,,1
10549,1729467407323873,Socialistes et Citoyens d'Occitanie,These ads ran without a disclaimer,,1
10553,411473728960162,UPR Loire-Atlantique,These ads ran without a disclaimer,,1
10817,517816185241301,Les Républicains Mons-en-Baroeul,These ads ran without a disclaimer,,1
10867,1983833175186193,Les Jeunes Républicains de Calais,Julien Vincent Jean-Luc Cordenos,,1
11053,1893679487537067,Champigny La République En Marche,These ads ran without a disclaimer,,1
11130,102584308403079,Les Républicains Meudon,Clément Perrin,,4
11207,104987337998790,PCF section de lagny sur marne,These ads ran without a disclaimer,,1
11336,1483274698669361,Section PCF de Fontenay sous Bois,These ads ran without a disclaimer,,1
11437,1830373277178381,Rassemblement National 88,These ads ran without a disclaimer,,2
12012,504694916251433,UDI Cantal,These ads ran without a disclaimer,,2
12206,119795759599264,La République En Marche - NOYON,Thomas Maurice Jean Gérard Guelfout,,1
