,PageID,PageName,Disclaimer,AmountSpent,Numberofads
15200,323122758328131,INFOS Régions,These ads ran without a disclaimer,,1
15209,400177530045868,Département des Alpes-Maritimes,These ads ran without a disclaimer,,1
15377,"1,84E+15",Comité O'Réel Courbes Région Aquitaine,These ads ran without a disclaimer,,1
15577,107811918136255,Andréa Porcher & Julio Pichon • Départementales 2021 • Saint-Nazaire 2,These ads ran without a disclaimer,,1
15764,105276374248034,Votre Page l'Info des Régions,These ads ran without a disclaimer,,1
16712,107937777334716,Comité Miss Département Mayotte,These ads ran without a disclaimer,,2
17019,102674428689873,Sophie Simon & Patrick Dupuy -Départementale 2021 -Salon2 #Cantonsalon27,These ads ran without a disclaimer,,1
17119,"2,08E+15",Ahmed Nassuria: Miss Petite-Terre 2021 Miss Régionales Mayotte,These ads ran without a disclaimer,,1
17133,107683174842559,Association Protection Propriété Privée en Région Centre Val de Loire,These ads ran without a disclaimer,,1
17428,1820712224722728,Pascal Tschaen Secrétaire Départemental de Debout la France Haut-Rhin,These ads ran without a disclaimer,,1
17699,246220975556569,Département de l'Essonne,These ads ran without a disclaimer,,1
18181,120444487996350,Banque mondiale Région Afrique,These ads ran without a disclaimer,,16
21133,104172245152898,Majorité Départementale 2021 Canton Entre-Deux-Mers,These ads ran without a disclaimer,,3
22214,101386582115187,"Départementales Challans 2021 solidaire, citoyenne et écologique",These ads ran without a disclaimer,,1
22397,690677137719234,Union Régionale des Médecins Libéraux Normandie,These ads ran without a disclaimer,,1
23019,104043621774617,UNSA Union Départementale 93,These ads ran without a disclaimer,,1
26832,100284655554880,Départementales Romorantin 2021 : Peggy Dupain et Pascal Goubert,These ads ran without a disclaimer,,1
27366,2100447886760606,Conseil Départemental de la Haute-Garonne,These ads ran without a disclaimer,,1
