,PageID,PageName,Disclaimer,AmountSpent,Numberofads
6219,1536553206605391,Jean-Lin Lacapelle,These ads ran without a disclaimer,,3
6459,1986320954965037,Frank Buhler - Journal Politique - Patriosphère Infos,These ads ran without a disclaimer,,1
6965,112143057190953,Philippe Torre,These ads ran without a disclaimer,,5
8381,234603746320,Jean Luc Warsmann,These ads ran without a disclaimer,,2
8972,105429351747635,1e circo du 82 pour Zemmour Avec Frank Buhler,These ads ran without a disclaimer,,3
9431,113638993786116,Conseil National de la Résistance Française avec Frank Buhler,Frank Jean Marie Buhler,,2
9490,101987021570101,Frank Buhler - Journal Politique,These ads ran without a disclaimer,,1
10282,727151737464877,François Cormier Bouligeon - Député du Cher,These ads ran without a disclaimer,,1
11961,858881057806876,Antoine Villedieu,These ads ran without a disclaimer,,5
12958,44112809106,Michel Barnier,These ads ran without a disclaimer,,1
12979,112678333414743,Anne Claire Boux,These ads ran without a disclaimer,,1
16132,103477098595090,Stéphane Blanchon,These ads ran without a disclaimer,,3
16195,11450328749,Jean-Luc Mélenchon,These ads ran without a disclaimer,,1
17455,267506846719855,Thomas Gassilloud,These ads ran without a disclaimer,,2
17632,642036589311215,François Ruffin,These ads ran without a disclaimer,,1
21650,293970490688629,François Alfonsi (Officiel),These ads ran without a disclaimer,,2
23943,125487850594,Laurent Wauquiez,These ads ran without a disclaimer,,2
25328,1786352768274777,Marine Le Pen 2022,These ads ran without a disclaimer,,1
26537,1395380324060802,François Grosdidier - L'Ecologie Vert et Bleu,These ads ran without a disclaimer,,1
